date,team,number,name,grade,position,minutes_played,status,shoot_1st,shoot_2nd,shoot_total,goals,goal_rate
2026/04/04(土) 17:00 キックオフ,大東文化大学,12,妹尾　典,4,GK,90,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,18,青　海斗,3,DF,90,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,3,雨宮　壮汰,不明,DF,90,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,5,池羽　航輝,不明,DF,90,先発,1,0,1,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,27,津田　楓真,不明,DF,90,先発,1,1,2,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,80,石神　瞬,3,MF,88,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,47,渡辺　浩史,3,MF,90,先発,0,2,2,1,50.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,14,信國　達也,3,MF,81,先発,1,1,2,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,16,栗栖　晴己,3,MF,45,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,43,並木　俊輔,2,MF,72,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,96,奥田　大翔,2,FW,45,先発,2,0,2,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,31,佐藤　晴翔,2,GK,0,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,6,目黒　嵩人,4,DF,2,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,46,金子　潤,2,DF,0,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,13,佐久間　勇斗,3,MF,0,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,11,舘　颯之介,4,MF,9,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,10,安藤　稜人,不明,MF,45,控え,0,1,1,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,29,佐藤　大心,2,MF,45,控え,0,1,1,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,19,上田　然,3,FW,0,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,大東文化大学,7,笠原　壮瑠,不明,FW,18,控え,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,1,金 柱相,4,GK,90,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,2,沈 瑞輝,3,DF,90,先発,0,0,0,0,0.0
2026/04/04(土) 17:00 キックオフ,朝鮮大学校,4,金 悠宇,4,DF,90,先発,0,0,0,0,0.0
