date,team,number,name,grade,position,minutes_played,status,shoot_1st,shoot_2nd,shoot_total,goals,goal_rate
2026/05/03(日) 10:00 キックオフ,和光大学,21,種茂 倖太,3,GK,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,13,小口 凜久,1,FW,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,15,伊東 洸大,1,DF,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,6,鈴木 翼,1,DF,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,24,愛甲 涼唄,2,DF,46,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,19,武中 晄樹,1,FW,46,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,27,高橋 莉央,1,MF,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,77,末永 大,1,MF,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,8,橋本 創太,2,MF,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,22,勝又 輝,2,FW,90,先発,1,2,3,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,10,上大川 蓮,2,MF,90,先発,0,2,2,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,5,細谷 倖城,3,DF,44,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,12,山中 主喜,1,FW,0,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,7,小串 琢斗,2,MF,0,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,30,伊藤 叶音,1,MF,44,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,9,坂間 雄大,1,MF,0,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,和光大学,16,林 湘太,3,DF,0,控え,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,横浜市立大学（神奈川県）,31,中村　　旭陽,3,GK,90,先発,0,0,0,0,0.0
2026/05/03(日) 10:00 キックオフ,横浜市立大学（神奈川県）,3,加藤　真流斗,4,MF,60,先発,1,0,1,2,200.0
