team,number,name,total_minutes,appearances
大東文化大学,3,雨宮　壮汰,154,2
日本大学文理学部,19,有田 海志,152,3
帝京大学,36,茂木　勇樹,152,4
神奈川工科大学（神奈川県）,23,小野　晟和,145,4
上智大学,35,大西　十和,145,6
大東文化大学,9,熊田　　裕,143,3
上智大学,14,関口　雄士,137,3
大東文化大学,4,正木　　翠羽,130,2
武蔵大学,37,関口　陽大,125,3
日本大学文理学部,29,髙山 周,125,7
武蔵大学,43,高橋　慶,125,2
東京経済大学,14,中島　洋之介,116,4
大東文化大学,10,安藤　稜人,109,2
帝京大学,19,佐山 洸士,109,2
東京経済大学,27,川畑　宇輝,106,2
帝京大学,18,野田 侑聖,105,2
日本大学文理学部,11,矢田 涼太郎,103,2
上智大学,48,岩永　悠社,100,3
玉川大学,34,坂本　佳晴,95,2
横浜国立大学（神奈川県）,37,佐々木　統羽,90,1
武蔵大学,21,神田　謙二郎,90,1
大東文化大学,1,清水　天斗,90,1
学習院大学,12,加藤   俐功,90,1
桜美林大学,55,渋谷　知都,90,1
日本大学文理学部,28,谷口 莉都,89,6
東京経済大学,18,渡部　隼翔,86,1
上智大学,4,須藤　智洋,85,4
朝鮮大学校,25,金　昌希,75,2
東京経済大学,20,小河原　瑛太,73,1
東京経済大学,33,細田　康貴,71,1
上智大学,2,唐澤　健太,69,1
東京経済大学,23,森田　颯,63,2
玉川大学,28,北村　瑞,62,2
桜美林大学,2,小野　文也,61,4
桜美林大学,68,三浦　瑠恩,61,5
武蔵大学,15,柳澤　広喜,57,4
武蔵大学,42,加藤　陽也,57,1
桜美林大学,14,田名部　勇,57,4
帝京大学,39,本間　竜有,56,2
東京経済大学,9,小尾　丞斗,53,4
大東文化大学,44,宮坂　哲之真,51,3
朝鮮大学校,28,崔 廣敏,48,3
武蔵大学,32,中西　智哉,48,2
大東文化大学,39,有賀　　大成,45,1
桜美林大学,23,和田　倖輔,42,2
日本大学文理学部,18,中村 陶冶,41,3
帝京大学,44,加藤　慧,39,3
朝鮮大学校,17,金 翔栄,37,2
桜美林大学,17,山田 　結互,37,2
朝鮮大学校,7,金 民学,37,2
朝鮮大学校,8,李　良成,37,1
帝京大学,15,杉浦 慶樹,34,3
桜美林大学,36,菊地　勝斗,32,3
上智大学,94,安野　一颯,31,4
東京経済大学,11,前島　陽向,31,2
学習院大学,32,岡本   惇之介,31,2
神奈川工科大学（神奈川県）,28,八島　渉太,29,2
東京経済大学,34,田中　大智,28,1
東京経済大学,25,都留　玄多,28,1
玉川大学,52,藤原　志宇,25,1
朝鮮大学校,13,柳　相在,22,1
日本大学文理学部,8,石川　雄大,20,1
大東文化大学,23,船津　圭太,19,1
